window_end_date,expert_id,feature,importance
2024-06-28,0,Close,0.054496907
2024-06-28,0,Volume,0.049137034
2024-06-28,0,bitcoin,0.020279132
2024-06-28,1,Close,0.054047834
2024-06-28,1,Volume,0.05132467
2024-06-28,1,bitcoin,0.049464714
2024-06-28,2,Close,0.05230978
2024-06-28,2,Volume,0.050756436
2024-06-28,2,bitcoin,0.05413534
2024-06-28,3,Close,0.04989818
2024-06-28,3,Volume,0.054521848
2024-06-28,3,bitcoin,0.05096988
2024-08-28,0,Close,0.054496907
2024-08-28,0,Volume,0.049137034
2024-08-28,0,bitcoin,0.021294037
2024-08-28,1,Close,0.054047834
2024-08-28,1,Volume,0.05132467
2024-08-28,1,bitcoin,0.049464714
2024-08-28,2,Close,0.05230978
2024-08-28,2,Volume,0.050756436
2024-08-28,2,bitcoin,0.05413534
2024-08-28,3,Close,0.04989818
2024-08-28,3,Volume,0.054521848
2024-08-28,3,bitcoin,0.05096988
2024-10-28,0,Close,0.054496907
2024-10-28,0,Volume,0.049137034
2024-10-28,0,bitcoin,0.02194827
2024-10-28,1,Close,0.054047834
2024-10-28,1,Volume,0.05132467
2024-10-28,1,bitcoin,0.049464714
2024-10-28,2,Close,0.05230978
2024-10-28,2,Volume,0.050756436
2024-10-28,2,bitcoin,0.05413534
2024-10-28,3,Close,0.04989818
2024-10-28,3,Volume,0.054521848
2024-10-28,3,bitcoin,0.05096988
